tea_name,name
TEA_A2_2,ESCO.0216.00974
TEA_A2_30,ESCO.0216.01099
TEA_A2_31,ESCO.0216.01203
TEA_A2_32,ESCO.0216.00801
TEA_A2_33,ESCO.0216.01252
TEA_A2_35,ESCO.0216.00854
TEA_A2_36,ESCO.0216.00907
TEA_A2_3,ESCO.0216.00970
TEA_A2_40,ESCO.0216.00425
TEA_A2_41,ESCO.0216.00892
TEA_A2_46,ESCO.0216.00989
TEA_A2_47,ESCO.0216.01066
TEA_A2_49,ESCO.0216.00890
TEA_A2_58,ESCO.0216.00923
TEA_A2_59,ESCO.0216.00848
TEA_A2_5,ESCO.0216.00866
TEA_A2_7,ESCO.0216.00968
TEA_A2_8,ESCO.0216.00565
TEA_A3_11,ESCO.0216.00973
TEA_A3_16,ESCO.0216.01219
TEA_A3_17,ESCO.0216.00235
TEA_A3_18,ESCO.0216.01086
TEA_A3_22,ESCO.0216.00502
TEA_A3_23,ESCO.0216.01077
TEA_A3_31,ESCO.0216.01253
TEA_A3_32,ESCO.0216.00912
TEA_A3_36,ESCO.0216.00795
TEA_A3_41,ESCO.0216.00681
TEA_A3_45,ESCO.0216.00316
TEA_A3_48,ESCO.0216.00652
TEA_A3_52,ESCO.0216.01220
TEA_A3_57,ESCO.0216.00530
TEA_A3_58,ESCO.0216.01367
TEA_A3_59,ESCO.0216.00610
TEA_A3_5,ESCO.0216.00127
TEA_A3_60,ESCO.0216.01001
TEA_A3_61,ESCO.0216.00944
TEA_A3_62,ESCO.0216.00946
TEA_A3_64,ESCO.0216.01018
TEA_A3_67,ESCO.0216.00983
TEA_A3_70,ESCO.0216.00783
TEA_A3_74,ESCO.0216.00935
TEA_A3_8,ESCO.0216.00997
TEA_A3_9,ESCO.0216.01072
TEA_A4_11,ESCO.0216.01088
TEA_A4_12,ESCO.0216.00886
TEA_A4_14,ESCO.0216.01070
TEA_A4_15,ESCO.0216.00826
TEA_A4_16,ESCO.0216.01173
TEA_A4_27,ESCO.0216.00976
TEA_A4_28b,ESCO.0216.01130
TEA_A4_29,ESCO.0216.01076
TEA_A4_2,ESCO.0216.00772
TEA_A4_32,ESCO.0216.01121
TEA_A4_33,ESCO.0216.01136
TEA_A4_35,ESCO.0216.01190
TEA_A4_37,ESCO.0216.00804
TEA_A4_3,ESCO.0216.01151
TEA_A4_49,ESCO.0216.01183
TEA_A4_50,ESCO.0216.00784
TEA_A4_57,ESCO.0216.00495
TEA_A4_5,ESCO.0216.00257
TEA_A4_61,ESCO.0216.00943
TEA_A4_9,ESCO.0216.00812
TEA_B004,ESCO.0216.00707
TEA_B045,ESCO.0216.00904
TEA_B050,ESCO.0216.00422
TEA_B093,ESCO.0216.01333
TEA_B1009,ESCO.0216.00655
TEA_B1036,ESCO.0216.00202
TEA_B103,ESCO.0216.00984
TEA_B1045,ESCO.0216.00377
TEA_B1049,ESCO.0216.00369
TEA_B1056,ESCO.0216.01082
