Revised_Source_Niche name
Environmental TEA_E9742
Environmental TEA_E5795
Environmental SRR13753102
Environmental SRR13593798
Environmental TEA_E2540
Environmental TEA_E2032
Environmental TEA_E2048
Environmental TEA_E8769
Environmental TEA_H1513183
Environmental TEA_E2016
Environmental SRR13735211
Environmental TEA_E7147
Environmental SRR13558083
Environmental SRR13593801
Environmental TEA_E5633
Environmental TEA_E2029
Environmental TEA_E9802
Environmental TEA_Soil_1
Environmental SRR13593800
Environmental TEA_E2085
Environmental TEA_E9213
Environmental TEA_E5629
Environmental SRR13593764
Environmental SRR13558047
Environmental SRR4241874
Environmental TEA_E5359
Environmental TEA_E5405
Environmental TEA_E3466
Environmental TEA_E5008
Environmental TEA_E8811
Environmental TEA_E8487
Environmental TEA_E5938
Environmental TEA_E2893
Environmental TEA_E9855
Environmental TEA_E7645
Environmental TEA_E9465
Environmental TEA_E3885
Environmental TEA_E5636
Environmental TEA_H1512653_1
Environmental SRR13735210
Environmental TEA_E2059
Environmental TEA_E7041
Environmental TEA_E7618
Environmental SRR13568497
Environmental TEA_E8600
Environmental TEA_E9202
Environmental TEA_E9567
Environmental TEA_E5555
Environmental TEA_E9182
Environmental TEA_E9870
Environmental TEA_E7542
Environmental TEA_E7727
Environmental TEA_E9576
Environmental TEA_E7553
Environmental TEA_E7207
Environmental TEA_E2853
Environmental TEA_E2427
Environmental TEA_E9303
Environmental TEA_E2038
Environmental TEA_E2074
Environmental TEA_E5203
Environmental TEA_E7267
Environmental TEA_E7112
Environmental TEA_E5150
Environmental TEA_E9138
Environmental AusGEM_01968
Environmental TEA_E2558
Environmental TEA_E1460
Environmental TEA_E5548
Environmental SRR13753802
Environmental SRR13568494
Environmental TEA_E7180
Environmental TEA_E8612
Environmental TEA_E2590
Environmental SRR13576333
Environmental TEA_E4963
Environmental TEA_E9273
Environmental TEA_E5260
Environmental TEA_E5183
Environmental TEA_E2035
Environmental SRR13569286
Environmental TEA_E5562
Environmental TEA_E4712
Environmental TEA_E2516
Environmental TEA_E4259
Environmental TEA_E7564
Environmental TEA_E2003
Environmental SRR13735219
Environmental TEA_E8766
Environmental TEA_E2712
Environmental SRR13735337
Environmental TEA_E7185
Environmental SRR13569284
Environmental TEA_Soil_3
Environmental TEA_E7242
Environmental SRR13576330
Environmental TEA_Soil_5
Environmental TEA_E4726
Environmental TEA_2099_2_1
Environmental TEA_E5953
Environmental SRR13569278
Environmental TEA_E9472
Environmental TEA_E9693
Environmental TEA_E8660
Environmental SRR13593799
Environmental TEA_E2810
Environmental TEA_E5623
Environmental TEA_E9254
Environmental TEA_E5021
Environmental TEA_E2508
Environmental SRR13576154
Environmental SRR13753803
Environmental TEA_E8621
Environmental TEA_E2061
Environmental TEA_E7355
Environmental TEA_E9427
Environmental TEA_SYD_1_2
Environmental TEA_E2025
Environmental TEA_E2009
Environmental TEA_E8848
Environmental TEA_E5976
Environmental TEA_E7562
Environmental AUSMDU00037793
Environmental TEA_E7322
Environmental SRR13735207
Environmental TEA_E4906
Environmental SRR13735208
Environmental TEA_E6249
Environmental TEA_E2814
Environmental TEA_E7715
Environmental SRR13753397
Environmental SRR13753396
Environmental TEA_E2938
Environmental TEA_E4173
Environmental SRR13569283
Environmental TEA_E7648
Environmental TEA_E9890
Environmental TEA_E7285
Environmental TEA_E6882
Environmental TEA_E4970
Environmental TEA_H1512651
Environmental TEA_E2549
Environmental TEA_E5456
Environmental TEA_E6705
Environmental TEA_E8279
Environmental TEA_E7603
Environmental TEA_E4770
Environmental TEA_E6007
Environmental TEA_E6062
Environmental TEA_E7188
Environmental TEA_Bris_5B
Environmental TEA_E3094
Environmental TEA_E5415
Environmental TEA_E5939
Environmental SRR13593761
Environmental TEA_E2482
Environmental TEA_E4150
Environmental TEA_E4206
Environmental TEA_E9207
Environmental TEA_E5448
Environmental TEA_E6003
Environmental SRR4241843
Environmental TEA_E7861
Environmental TEA_E5955
Environmental TEA_H1513216
Environmental TEA_E9345
Environmental SRR13569282
Environmental TEA_2099_1_2
Environmental TEA_E9650
Environmental TEA_E8488
Environmental TEA_E9781
Environmental TEA_E8382
Environmental TEA_E8856
Environmental SRR13558045
Environmental TEA_H1512649
Environmental TEA_Soil_4
Environmental SRR4241875
Environmental TEA_E3628
Environmental TEA_H1512653_2
Environmental TEA_E7087
Environmental TEA_E4665
Environmental TEA_E7143
Environmental SRR13558082
Environmental TEA_E8495
Environmental TEA_E4478
Environmental TEA_E6387
Environmental TEA_E2014
Environmental TEA_Bris_2W
Environmental TEA_E7812
Environmental TEA_E2476
Environmental TEA_327_1
Environmental TEA_E2848
Environmental TEA_E2018
Environmental TEA_E9319
Environmental TEA_E9783
Environmental SRR4241868
Environmental TEA_E2845
Environmental TEA_E5545
Environmental TEA_E4762
Environmental TEA_E2065
Environmental TEA_E2013
Environmental TEA_E4830
Environmental TEA_E2026
Environmental TEA_1863_3_1_WA_Bloom
Environmental SRR13576155
Environmental TEA_E4735
Environmental TEA_E5897
Environmental TEA_E258
Environmental TEA_E8619
Environmental TEA_E7641
Environmental TEA_E2042
Environmental TEA_E9790
Environmental TEA_2099_1_1
Environmental SRR13735206
Environmental AUSMDU00070154
Environmental TEA_E8599
Environmental TEA_E6082
Environmental TEA_E2521
Environmental TEA_E2844
Environmental TEA_E6649
Environmental TEA_E8496
Environmental TEA_E9844
Environmental TEA_E5261
Environmental SRR13735209
Livestock AusGEM_00276
Livestock SRR14160904
Livestock AusGEM_00225
Livestock AusGEM_00007
Livestock AusGEM_00133
Livestock AusGEM_00873
Livestock AusGEM_00313
Livestock AusGEM_00986
Livestock AusGEM_00988
Livestock AusGEM_00866
Livestock AusGEM_00975
Livestock AusGEM_00299
Livestock AusGEM_00876
Livestock AusGEM_00980
